node_number,longitude,latitude,Mar-89,11years,22years,33years,55years,110years,1000years,10000years,100000years,1000000years
507,-3.31586,57.42781,2.971275292,0.793033376,2.355032797,2.717231255,3.12073044,3.62703575,5.148922954,6.704979825,8.261630951,9.818282078
510,-4.798,54.8766,36.67278484,9.787966274,29.06684926,33.53726173,38.51742592,44.76646846,63.55026885,82.75580627,101.9686783,121.1815502
513,-3.2671,56.1084,13.39318933,3.574642233,10.61544187,12.24807165,14.06686676,16.34906622,23.2090578,30.22307105,37.23976294,44.25645484
516,-3.200938,56.206874,13.85687914,3.698401043,10.98296241,12.67211597,14.55388016,16.91509237,24.01258586,31.26943347,38.52905245,45.78867144
519,-3.2348,55.935,6.884545867,1.837485292,5.456691055,6.295917196,7.230838525,8.403965141,11.93022953,15.53566621,19.14247979,22.74929337
522,-3.915,58.227,11.49668501,3.06846523,9.11227254,10.51371844,12.07496827,14.03400339,19.92260546,25.9434194,31.96653268,37.98964596
525,-4.3142,55.8535,1.858960289,0.496156501,1.473411925,1.700019185,1.952465992,2.269232825,3.221392286,4.194929789,5.168839085,6.142748382
528,0.716257,51.445622,26.47046644,7.064967492,20.9804917,24.20724156,27.8019309,32.31249838,45.87067129,59.73325456,73.60113193,87.46900931
531,-0.7287,52.24304,13.07057603,3.488536743,10.35973856,11.95304178,13.72802601,15.95525216,22.65000121,29.49506188,36.34273666,43.19041145
534,-3.775519444,56.56349444,3.08669051,0.823837697,2.446510898,2.822778471,3.241951043,3.767923106,5.348925985,6.965425805,8.582542964,10.19966012
537,-0.1518,53.56602,32.22039437,8.599623258,25.53788458,29.46555065,33.84108021,39.33143541,55.83472141,72.70854194,89.58880656,106.4690712
540,-3.6893,56.0018,13.31667401,3.554220294,10.55479582,12.17809838,13.98650271,16.25566397,23.0764644,30.05040658,37.02701209,44.00361761
543,-3.050583333,55.03195278,10.51167937,2.805567225,8.331557072,9.612930788,11.04041685,12.83160701,18.21568919,23.72065568,29.2277245,34.73479333
546,-1.131719444,54.57559444,33.62840503,8.975421304,26.65387383,30.7531764,35.31991381,41.05019403,58.27466308,75.8858588,93.5037802,111.1217016
549,-4.8299,57.6145,48.19541103,12.8633552,38.19968278,44.07470339,50.61964021,58.83213825,83.51782777,108.7577645,134.0073404,159.2569162
554,-0.04317,51.559444,18.00479168,4.8054789,14.27059788,16.46538199,18.9104327,21.9784492,31.2005035,40.6296129,50.06232327,59.49503364
557,-4.693,55.2146,3.10E-09,8.26E-10,2.45E-09,2.83E-09,3.25E-09,3.78E-09,5.36E-09,6.99E-09,8.61E-09,1.02E-08
560,-4.2946,55.8287,3.232410727,0.862730423,2.562008742,2.95603961,3.395000987,3.945803775,5.601444549,7.294258047,8.987718027,10.68117801
564,-1.71398,52.53002,16.67790904,4.451333922,13.2189107,15.25194781,17.51680786,20.35872356,28.90114857,37.63536953,46.37292608,55.11048263
567,-3.658166667,55.17809167,58.15713055,15.52213814,46.09534167,53.18469589,61.08243421,70.99240926,100.7804915,131.2373808,161.7059015,192.1744222
571,-2.96329,54.94098,14.88661638,3.973237912,11.79913214,13.61381068,15.63541318,18.17209261,25.79701752,33.59313852,41.39223684,49.19133517
574,-1.29181,54.70032,13.55017152,3.616540779,10.73986595,12.39163185,14.23174515,16.54069437,23.48109222,30.57731705,37.67625191,44.77518678
577,-2.80145,55.43316389,5.28397122,1.410291919,4.188075589,4.83219168,5.549754972,6.450143668,9.156593727,11.92380945,14.69208198,17.4603545
581,-1.40144,54.80584,34.10649704,9.103024061,27.03280955,31.19039154,35.82205384,41.63380094,59.10314872,76.96472122,94.83311503,112.7015088
584,-4.701,56.0199,8.834562354,2.357944692,7.002274122,8.079207273,9.27894084,10.78435027,15.3094131,19.93607341,24.56450063,29.19292785
587,-2.89003,54.03179,22.17590632,5.918749397,17.57662335,20.27986633,23.29135441,27.07012885,38.42862806,50.0421502,61.66010753,73.27806486
590,-0.79259,53.22812,29.071609,7.759212444,23.0421573,26.58598643,30.53391094,35.48771311,50.37819124,65.60299288,80.83360884,96.06422481
594,-3.13222,51.20592,22.741953,6.069827256,18.02527195,20.79751602,23.88587324,27.76110203,39.40953036,51.31949114,63.23400032,75.14850951
597,-4.890380556,55.71974167,29.92131374,7.985998638,23.71563327,27.36304142,31.42635582,36.52494769,51.85064458,67.52043659,83.19621286,98.87198915
600,-0.22901,53.63371,14.53732819,3.880012894,11.52228632,13.29438663,15.2685558,17.74571652,25.19173602,32.80493479,40.42104104,48.03714728
603,-4.8635,55.7432,19.89911493,5.311073776,15.7720385,18.19774061,20.90004041,24.2908496,34.48317627,44.90434276,55.32948908,65.7546354
606,-4.8854,55.7214,15.02126523,4.00917569,11.90585482,13.73694705,15.77683487,18.33645847,26.03035051,33.89698712,41.76662797,49.63626883
