number,num_trans,lat,lon
302,1.0,57.1311,-2.153
303,,58.2106527777777,-4.50364722222222
304,,58.2106527777777,-4.50364722222222
305,1.0,58.2106527777777,-4.50364722222222
306,,53.800702,-0.415399
307,,53.800702,-0.415399
308,,53.800702,-0.415399
309,4.0,53.800702,-0.415399
310,,55.8211,-4.3643
311,,55.8211,-4.3643
312,2.0,55.8211,-4.3643
313,,55.696886111111105,-5.458544444444445
314,,55.696886111111105,-5.458544444444445
315,,55.696886111111105,-5.458544444444445
316,4.0,55.696886111111105,-5.458544444444445
317,,55.9152,-2.5394
318,,55.9152,-2.5394
319,,55.9152,-2.5394
320,2.0,55.9152,-2.5394
321,,57.4255,-4.7026
322,,57.4255,-4.7026
323,1.0,57.4255,-4.7026
324,,55.95,-3.98
325,,55.95,-3.98
326,1.0,55.95,-3.98
327,,56.3142,-3.035
328,,56.3142,-3.035
329,1.0,56.3142,-3.035
330,,55.9022,-3.3087
331,,55.9022,-3.3087
332,,55.9022,-3.3087
333,3.0,55.9022,-3.3087
334,,57.5565,-3.4198
335,,57.5565,-3.4198
336,1.0,57.5565,-3.4198
337,,55.83535,-4.20339
338,,55.83535,-4.20339
339,,55.83535,-4.20339
340,2.0,55.83535,-4.20339
341,,57.405,-4.8388
342,,57.405,-4.8388
343,1.0,57.405,-4.8388
344,,56.038830555555556,-3.8895833333333334
345,,56.038830555555556,-3.8895833333333334
346,,56.038830555555556,-3.8895833333333334
347,1.0,56.038830555555556,-3.8895833333333334
348,,55.37269166666667,-4.203794444444445
349,,55.37269166666667,-4.203794444444445
350,1.0,55.37269166666667,-4.203794444444445
351,,55.9148,-4.7063
352,,55.9148,-4.7063
353,,55.9148,-4.7063
354,2.0,55.9148,-4.7063
355,,56.1373,-3.7792
356,,56.1373,-3.7792
357,1.0,56.1373,-3.7792
358,,55.94717,-3.209
359,,55.94717,-3.209
360,1.0,55.94717,-3.209
361,,51.6255,-1.25953
362,,51.6255,-1.25953
363,1.0,51.6255,-1.25953
364,,58.0514777777777,-4.40471666666666
365,,58.0514777777777,-4.40471666666666
366,1.0,58.0514777777777,-4.40471666666666
367,,57.379,-3.097
368,,57.379,-3.097
369,1.0,57.379,-3.097
370,,58.57589,-3.7535
371,,58.57589,-3.7535
372,,58.57589,-3.7535
373,2.0,58.57589,-3.7535
374,,52.773,-1.653
375,,52.773,-1.653
376,,52.773,-1.653
377,2.0,52.773,-1.653
378,,53.736,-0.9924
379,,53.736,-0.9924
380,,53.736,-0.9924
381,2.0,53.736,-0.9924
382,,55.906453,-3.5876
383,,55.906453,-3.5876
384,1.0,55.906453,-3.5876
385,,55.9157,-4.3489
386,,55.9157,-4.3489
387,1.0,55.9157,-4.3489
388,,58.2529,-3.4298
389,,58.2529,-3.4298
390,1.0,58.2529,-3.4298
391,,56.4617,-2.95
392,,56.4617,-2.95
393,1.0,56.4617,-2.95
394,,57.4279,-6.531
395,,57.4279,-6.531
396,1.0,57.4279,-6.531
397,,55.0619,-3.583
398,,55.0619,-3.583
399,2.0,55.0619,-3.583
400,,55.97658,-2.5727
401,,55.97658,-2.5727
402,2.0,55.97658,-2.5727
403,,55.804738888888885,-2.8414472222222225
404,,55.804738888888885,-2.8414472222222225
405,1.0,55.804738888888885,-2.8414472222222225
406,,56.08953,-3.4489
407,,56.08953,-3.4489
408,1.0,56.08953,-3.4489
409,,50.914,0.9474
410,,50.914,0.9474
411,1.0,50.914,0.9474
412,,55.3442,-4.3385
413,,55.3442,-4.3385
414,1.0,55.3442,-4.3385
415,,57.270488888888885,-4.332819444444445
416,,57.270488888888885,-4.332819444444445
417,1.0,57.270488888888885,-4.332819444444445
418,,55.9746,-4.94
419,,55.9746,-4.94
420,1.0,55.9746,-4.94
421,,57.2159,-2.19
422,,57.2159,-2.19
423,1.0,57.2159,-2.19
424,,51.50171,-0.29627
425,,51.50171,-0.29627
426,2.0,51.50171,-0.29627
427,,52.21519,-0.30207
428,,52.21519,-0.30207
429,2.0,52.21519,-0.30207
430,,55.11226388888889,-4.174033333333334
431,,55.11226388888889,-4.174033333333334
432,1.0,55.11226388888889,-4.174033333333334
433,,55.6681,-2.3277
434,,55.6681,-2.3277
435,,55.6681,-2.3277
436,2.0,55.6681,-2.3277
437,,51.92653,-0.90636
438,,51.92653,-0.90636
439,2.0,51.92653,-0.90636
440,,57.4723,-6.413
441,,57.4723,-6.413
442,1.0,57.4723,-6.413
443,,55.87858,-4.073
444,,55.87858,-4.073
445,1.0,55.87858,-4.073
446,,55.7849,-4.1916
447,,55.7849,-4.1916
448,1.0,55.7849,-4.1916
449,,55.7395,-4.1611
450,,55.7395,-4.1611
451,1.0,55.7395,-4.1611
452,,55.8395,-4.4629
453,,55.8395,-4.4629
454,1.0,55.8395,-4.4629
455,,57.66490833333333,-3.321172222222222
456,,57.66490833333333,-3.321172222222222
457,1.0,57.66490833333333,-3.321172222222222
458,,53.694321,-1.823393
459,,53.694321,-1.823393
460,2.0,53.694321,-1.823393
461,,51.660537,-0.343537
462,,51.660537,-0.343537
463,,51.660537,-0.343537
464,4.0,51.660537,-0.343537
465,,55.437,-3.6723
466,,55.437,-3.6723
467,1.0,55.437,-3.6723
468,,52.59645,-1.21898
469,,52.59645,-1.21898
470,2.0,52.59645,-1.21898
471,,56.706,-4.0073
472,,56.706,-4.0073
473,4.0,56.706,-4.0073
474,,55.9036,-4.481
475,,55.9036,-4.481
476,1.0,55.9036,-4.481
477,,55.15855277777778,-3.1252194444444443
478,,55.15855277777778,-3.1252194444444443
479,1.0,55.15855277777778,-3.1252194444444443
480,,50.76802,-3.40333
481,,50.76802,-3.40333
482,2.0,50.76802,-3.40333
483,,57.33611666666667,-4.160388888888889
484,,57.33611666666667,-4.160388888888889
485,1.0,57.33611666666667,-4.160388888888889
486,,55.82499166666667,-2.666025
487,,55.82499166666667,-2.666025
488,1.0,55.82499166666667,-2.666025
489,,57.28102777777778,-4.457705555555556
490,,57.28102777777778,-4.457705555555556
491,1.0,57.28102777777778,-4.457705555555556
492,,57.3228,-4.7894
493,,57.3228,-4.7894
494,1.0,57.3228,-4.7894
495,,57.1366,-4.7145
496,,57.1366,-4.7145
497,,57.1366,-4.7145
498,,57.1366,-4.7145
499,4.0,57.1366,-4.7145
500,,50.82193,-1.33271
501,,50.82193,-1.33271
502,2.0,50.82193,-1.33271
503,,52.25257,-1.97212
504,,52.25257,-1.97212
505,,52.25257,-1.97212
506,3.0,52.25257,-1.97212
507,,56.369455555555554,-5.181380555555556
508,,56.369455555555554,-5.181380555555556
509,1.0,56.369455555555554,-5.181380555555556
510,,53.7201,-1.27258
511,,53.7201,-1.27258
512,,53.7201,-1.27258
513,,53.7201,-1.27258
514,4.0,53.7201,-1.27258
515,,56.96094444444445,-2.273
516,,56.96094444444445,-2.273
517,,56.96094444444445,-2.273
518,1.0,56.96094444444445,-2.273
519,,56.921,-2.292
520,,56.921,-2.292
521,2.0,56.921,-2.292
522,,53.37157,-2.68833
523,,53.37157,-2.68833
524,1.0,53.37157,-2.68833
525,,56.47699166666667,-4.329588888888889
526,,56.47699166666667,-4.329588888888889
527,1.0,56.47699166666667,-4.329588888888889
528,,55.86244444444445,-4.278133333333333
529,,55.86244444444445,-4.278133333333333
530,1.0,55.86244444444445,-4.278133333333333
531,,51.25048,-0.87978
532,,51.25048,-0.87978
533,4.0,51.25048,-0.87978
534,,55.01232,-2.16339
535,,55.01232,-2.16339
536,,55.01232,-2.16339
537,1.0,55.01232,-2.16339
538,,57.68622,-2.02397
539,,57.68622,-2.02397
540,1.0,57.68622,-2.02397
541,,53.309609,-2.716069
542,,53.309609,-2.716069
543,,53.309609,-2.716069
544,,53.309609,-2.716069
545,3.0,53.309609,-2.716069
546,,56.82061,-5.078256
547,,56.82061,-5.078256
548,1.0,56.82061,-5.078256
549,,57.6994,-4.3024
550,,57.6994,-4.3024
551,1.0,57.6994,-4.3024
552,,55.60803611111111,-2.769525
553,,55.60803611111111,-2.769525
554,1.0,55.60803611111111,-2.769525
555,,55.53543333333333,-3.9500833333333336
556,,55.53543333333333,-3.9500833333333336
557,1.0,55.53543333333333,-3.9500833333333336
558,,55.798,-4.2977
559,,55.798,-4.2977
560,1.0,55.798,-4.2977
561,,57.201,-4.7159
562,,57.201,-4.7159
563,1.0,57.201,-4.7159
564,,57.42781,-3.31586
565,,57.42781,-3.31586
566,1.0,57.42781,-3.31586
567,,55.3372,-4.0138
568,,55.3372,-4.0138
569,1.0,55.3372,-4.0138
570,,57.3346944444444,-4.10489444444444
571,,57.3346944444444,-4.10489444444444
572,1.0,57.3346944444444,-4.10489444444444
573,,55.0972,-4.181
574,,55.0972,-4.181
575,1.0,55.0972,-4.181
576,,54.8766,-4.798
577,,54.8766,-4.798
578,1.0,54.8766,-4.798
579,,56.1084,-3.2671
580,,56.1084,-3.2671
581,1.0,56.1084,-3.2671
582,,56.206874,-3.200938
583,,56.206874,-3.200938
584,1.0,56.206874,-3.200938
585,,55.935,-3.2348
586,,55.935,-3.2348
587,1.0,55.935,-3.2348
588,,58.227,-3.915
589,,58.227,-3.915
590,1.0,58.227,-3.915
591,,55.8535,-4.3142
592,,55.8535,-4.3142
593,1.0,55.8535,-4.3142
594,,51.445622,0.716257
595,,51.445622,0.716257
596,1.0,51.445622,0.716257
597,,52.24304,-0.7287
598,,52.24304,-0.7287
599,3.0,52.24304,-0.7287
600,,56.563494444444444,-3.7755194444444444
601,,56.563494444444444,-3.7755194444444444
602,1.0,56.563494444444444,-3.7755194444444444
603,,53.56602,-0.1518
604,,53.56602,-0.1518
605,1.0,53.56602,-0.1518
606,,56.0018,-3.6893
607,,56.0018,-3.6893
608,2.0,56.0018,-3.6893
609,,55.031952777777775,-3.050583333333333
610,,55.031952777777775,-3.050583333333333
611,1.0,55.031952777777775,-3.050583333333333
612,,57.6145,-4.8299
613,,57.6145,-4.8299
614,1.0,57.6145,-4.8299
615,,51.559444,-0.04317
616,,51.559444,-0.04317
617,,51.559444,-0.04317
618,,51.559444,-0.04317
619,4.0,51.559444,-0.04317
620,,55.2146,-4.693
621,,55.2146,-4.693
622,1.0,55.2146,-4.693
623,,55.8287,-4.2946
624,,55.8287,-4.2946
625,1.0,55.8287,-4.2946
626,,52.53002,-1.71398
627,,52.53002,-1.71398
628,,52.53002,-1.71398
629,3.0,52.53002,-1.71398
630,,55.17809166666667,-3.658166666666667
631,,55.17809166666667,-3.658166666666667
632,1.0,55.17809166666667,-3.658166666666667
633,,54.94098,-2.96329
634,,54.94098,-2.96329
635,,54.94098,-2.96329
636,5.0,54.94098,-2.96329
637,,54.70032,-1.29181
638,,54.70032,-1.29181
639,1.0,54.70032,-1.29181
640,,55.433163888888885,-2.80145
641,,55.433163888888885,-2.80145
642,1.0,55.433163888888885,-2.80145
643,,54.80584,-1.40144
644,,54.80584,-1.40144
645,,54.80584,-1.40144
646,2.0,54.80584,-1.40144
647,,56.0199,-4.701
648,,56.0199,-4.701
649,1.0,56.0199,-4.701
650,,54.03179,-2.89003
651,,54.03179,-2.89003
652,2.0,54.03179,-2.89003
653,,51.56123611111111,-0.11412222222222224
654,,51.56123611111111,-0.11412222222222224
655,2.0,51.56123611111111,-0.11412222222222224
656,,53.22812,-0.79259
657,,53.22812,-0.79259
658,2.0,53.22812,-0.79259
659,,51.20592,-3.13222
660,,51.20592,-3.13222
661,1.0,51.20592,-3.13222
662,,55.71974166666667,-4.890380555555555
663,,55.71974166666667,-4.890380555555555
664,1.0,55.71974166666667,-4.890380555555555
665,,53.63371,-0.22901
666,,53.63371,-0.22901
667,1.0,53.63371,-0.22901
668,,55.7432,-4.8635
669,,55.7432,-4.8635
670,1.0,55.7432,-4.8635
671,,55.7214,-4.8854
672,,55.7214,-4.8854
673,1.0,55.7214,-4.8854
674,,51.432936,0.154817
675,,51.432936,0.154817
676,2.0,51.432936,0.154817
677,,54.29744,-2.67142
678,,54.29744,-2.67142
679,,54.29744,-2.67142
680,1.0,54.29744,-2.67142
681,,51.54787,-3.030982
682,,51.54787,-3.030982
683,1.0,51.54787,-3.030982
684,,50.395883,-4.899538
685,,50.395883,-4.899538
686,2.0,50.395883,-4.899538
687,,57.0717,-4.7694
688,,57.0717,-4.7694
689,1.0,57.0717,-4.7694
690,,56.04215,-3.38952
691,,56.04215,-3.38952
692,1.0,56.04215,-3.38952
693,,57.44839722222222,-4.2007111111111115
694,,57.44839722222222,-4.2007111111111115
695,2.0,57.44839722222222,-4.2007111111111115
696,,56.32387777777778,-4.7246805555555556
697,,56.32387777777778,-4.7246805555555556
698,1.0,56.32387777777778,-4.7246805555555556
699,,51.57009,-2.48042
700,,51.57009,-2.48042
701,3.0,51.57009,-2.48042
702,,52.63305833333333,-2.5097
703,,52.63305833333333,-2.5097
704,2.0,52.63305833333333,-2.5097
705,,51.542852,-0.497217
706,,51.542852,-0.497217
707,,51.542852,-0.497217
