Population,Easting,Northing
<0.15,319677.77517294954,691101.4678408946
<0.15,316947.94718238496,951739.4368911542
<0.15,289785.2628444013,855269.9552417847
<0.15,202098.75019998173,720434.4136373394
<0.15,278802.66487260046,660367.9730376843
0.3-0.45,410235.9333936392,289922.79765302676
<0.15,259632.22651864932,611569.7199070827
0.15-0.3,434155.75281891844,390094.6528972441
<0.15,245036.1441654125,659940.0313582668
<0.15,240560.34647193903,564367.8225340223
0.3-0.45,534815.0313609496,178008.87878674676
0.3-0.45,562059.6516049651,172452.18588748918
0.3-0.45,510419.55594111054,179042.64312146493
0.15-0.3,572399.6793741212,111900.50365048784
0.15-0.3,435271.51971645514,383680.4866789906
0.45-0.6,621799.8952760983,302300.54368211556
0.15-0.3,441145.6696248343,522125.56760450045
0.45-0.6,436204.88943828456,115918.82050911884
0.3-0.45,398099.74186256743,293799.7962391032
0.15-0.3,434897.17460275016,554187.2983109573
0.3-0.45,398500.3350075894,288999.8142014518
<0.15,240524.93564281933,850364.0058912057
<0.15,464132.6202754015,451678.49126505386
0.3-0.45,378519.4268159441,433256.4754601631
<0.15,249136.22451319726,663282.108247337
<0.15,255172.2575798735,666462.2489886893
<0.15,412125.356657418,842632.8568387381
<0.15,411724.51917996607,846499.5406160746
0.3-0.45,545800.3500901089,228399.4585215596
<0.15,193399.82555983443,202400.293914888
0.3-0.45,385900.07815819484,295399.58957468404
<0.15,255888.45489347956,367893.21766987146
<0.15,391730.52113835816,809260.0627433814
0.3-0.45,350156.847727973,427922.87005678937
0.15-0.3,437100.90914563107,389478.7473434674
<0.15,330003.97101714474,673821.2359751839
<0.15,456972.81664433505,453498.2506912595
<0.15,191345.04428739453,686518.9632154851
<0.15,259082.87446535568,666734.0621749449
0.15-0.3,283045.4050956855,183258.76719546685
0.3-0.45,351008.9317220523,391863.5621800459
0.15-0.3,315524.6993648185,212904.33749330085
0.15-0.3,450200.034610863,329799.83482242306
0.3-0.45,579945.5569666638,190826.92514082417
0.3-0.45,541628.063452004,189726.66852686787
<0.15,328768.83127849095,695326.9531178391
<0.15,394550.46434835374,801941.482214065
0.3-0.45,385803.1325342037,413979.9074095304
0.3-0.45,351900.83595286554,380032.8298578633
0.3-0.45,405845.59208977583,317669.7455787808
0.3-0.45,538823.458295835,208575.62232089357
<0.15,224285.8583680243,642702.2882605003
0.15-0.3,516301.20333754085,428770.18087337154
0.15-0.3,449296.4039015291,523702.399342163
<0.15,259056.13365886742,658592.7819066586
0.15-0.3,353625.56950306316,182227.08377283596
0.3-0.45,608399.9762876249,138199.5805130002
0.15-0.3,434887.9370902085,386616.50552357465
<0.15,257230.45526866283,897413.0014607094
0.15-0.3,353314.97219927574,312546.3499876178
<0.15,326132.4077859978,675333.0491692494
