transformer_count,Easting,Northing
3,526016.9970256609,171773.0000427856
1,394224.52647684014,806995.9139857744
6,520981.256111745,183180.66348448815
4,279119.3970942431,653955.9244445316
2,251693.81172268523,673141.2488745346
2,258442.67919057817,647452.2330166603
2,273387.4906741563,661714.4349815188
4,441430.1339053013,400754.07322342583
1,391248.0813571155,807045.765421861
1,559056.6149724844,177072.13434581656
4,505940.3696140095,162688.41755649663
2,235122.77922044304,393816.16962810024
1,520400.66396247945,226740.04649894824
