number,num_trans,lat,lon
726,4,53.02752,-3.05219
729,1,56.2078,-2.9972
732,1,55.905,-3.5019
735,1,55.6713,-3.8263
738,2,53.418938,-2.92394
742,3,51.46518,0.23863
745,2,50.91702,-1.04115
748,1,56.6544,-2.865
751,1,56.481063,-3.017
755,2,53.26858,-2.12055
758,1,57.6594,-2.491
761,1,51.56326,-3.75412
765,1,55.137372,-4.7672
768,3,50.84717,-1.89484
771,1,55.34214722222222,-4.685316666666667
775,3,51.39294,-2.14943
778,1,56.4686,-2.917
781,2,51.61765,-0.20891
784,1,57.134,-4.832
787,2,51.60704,-2.00284
790,1,55.33251944444445,-3.4815583333333335
793,2,53.75722,-1.26726
797,2,56.1059,-3.293
800,3,58.4460195,-3.424525
803,1,57.574,-3.8445
806,1,56.3348,-5.203
809,1,55.8213,-3.936
812,2,52.507106,-1.850622
815,2,55.377972222222226,-4.2168777777777775
819,2,53.40657,-1.48769
823,2,55.8078,-4.4742
826,1,54.9484,-4.491
830,4,51.484971,-0.059781
833,2,51.427905555555554,0.3297333333333333
836,2,51.499547,-0.410641
839,2,50.88088,0.44934
842,1,53.348845,-1.471621
845,3,52.57327,1.27176
849,3,54.59265,-1.36474722222222
852,2,50.94158,-1.48607
855,3,52.54205,-2.02945
858,1,54.88123,-1.45761
862,2,52.4989,-2.02352
865,1,57.515278,-4.664078
868,2,53.95723,-1.02412
871,1,53.795169,-2.327573
874,1,55.8391,-4.4107
877,1,55.8695,-4.3161
880,1,57.473797222222224,-1.79948055555556
883,1,57.50854,-1.80598
886,1,51.93501,0.11938
889,1,51.68226,-4.98996
893,3,52.55625,-2.2094
896,1,53.18855,-4.158325
900,2,57.1741,-2.1384
904,7,53.745285,-2.757246
907,2,53.400836,-1.443463
910,1,55.9523,-3.1225
913,1,53.97442,-1.13288
916,1,56.026,-5.35
919,1,55.8731,-4.2538
922,1,51.536079,-3.687646
925,2,53.421282,-2.738653
928,1,51.808369,-3.226676
932,3,52.86335,-1.25579
935,3,51.58756,0.59611
938,2,51.5886,0.042985
941,1,56.1453,-3.148
944,1,57.1084,-2.0916
948,3,53.622162,-2.216111
951,1,53.315031,-2.723429
954,1,52.756607,-1.914824
957,2,51.758668,0.010013
960,2,55.646,-4.7938
963,1,53.742347,-0.23807
966,1,54.606092,-1.238354
969,1,55.8,-4.25
972,2,51.53703,-2.670016
975,2,51.1052,0.9755
978,1,53.37526,-1.47706
981,1,57.943086,-4.413444
984,1,52.708557,-2.692423
987,1,55.9653,-3.1849
990,1,55.9257,-3.3
993,2,52.215035,1.618617
998,7,51.527105,-0.171495
1001,2,53.777704,-1.494575
1004,2,53.421151,-2.275361
1008,1,55.9078,-3.0339
1011,1,55.9355,-4.8113
1014,2,54.70558,-1.55633
1017,1,54.973534,-1.449522
1020,1,53.879073,-2.988174
1024,3,53.491812,-2.044787
1027,2,53.07769,-0.86891
1031,4,54.977571,-1.743554
1035,2,55.7526,-4.0802
1038,1,56.1157,-3.9146
1041,1,55.9469,-4.5761
1044,1,52.96017,-1.04854
1047,1,58.0365,-4.047
1050,1,57.5862,-2.07
1053,1,58.556916666666666,-3.9907472222222222
1055,1,53.487953,-1.601998
1058,2,51.936685,-0.502818
1062,4,51.68314,-3.959595
1065,1,57.1515,-2.788
1068,1,51.01688,-3.15327
1071,1,56.430053,-5.214
1074,2,56.520383333333335,-2.977713888888889
1077,1,55.9615,-3.2413
1080,1,53.412016,-1.386021
1084,3,53.578981,-1.087646
1087,1,58.5722,-3.5094
1090,2,53.40506,-1.267979
1094,3,51.459088,0.390143
1097,2,53.401268,-1.394641
1100,1,54.606738,-1.116915
1102,2,54.8545,-4.026
1105,1,55.95103,-2.419814
1108,2,51.603722,-0.048113
1112,2,52.92703,-3.94724
