,Unnamed: 0,node_number,longitude,latitude,Mar-89,11years,22years,33years,55years,110years,1000years,10000years,100000years,1000000years,voltage
11,11,35,-4.88222,55.0533,34.48810445849924,9.20487508080835,27.335271594449388,31.539371528020272,36.22285611398929,42.09962911628914,59.76443621735656,77.82585652540294,95.89417445659764,113.96249239857924,275
12,12,38,-6.645,57.5544,4.382465153800189,1.1696799496553631,3.473541880983724,4.007764383242111,4.602903151192324,5.349675213726653,7.594373865175786,9.889470866618725,12.185444361379172,14.481417857510328,275
13,13,41,-2.924,50.7867,16.368297790079644,4.368698680568508,12.97351282872225,14.968808329370844,17.19162316950325,19.980781114153316,28.36462324100957,36.93670079515996,45.512052009939374,54.08740322983831,400
14,14,44,-4.58739,55.45686,21.640366587960862,5.775813842850634,17.152154558021177,19.790115245143696,22.72887702810554,26.416395496307675,37.50059126104493,48.83365124512423,60.1710393039371,71.50842736951844,275
15,15,47,-3.67388,55.9004,18.592061093940444,4.962221106422789,14.736067623403772,17.002439870798145,19.5272417676274,22.69532897942116,32.218182670348824,41.95484506693296,51.69522587695239,61.43560669278687,275
16,16,50,-3.76771,56.013815,8.237849954557404,2.1986821530707967,6.529319874135761,7.533513783615376,8.652213807564852,10.055943440435684,14.275370186544707,18.58953220849413,22.90534180097349,27.22115139602941,275
17,17,55,0.11613,51.5229,19.326767810134942,5.158314328992887,15.318396166673226,17.67432916277341,20.29890423167263,23.592185467960714,33.491355938868324,43.612784242790205,53.738077901538695,63.86337156633203,400
18,18,60,-4.4898,57.46757,30.778210340779303,8.214704340699088,24.394809516675416,28.14667335728765,32.326354322015995,37.57096136637975,53.3355607006281,69.45410945888783,85.57881386122959,101.70351827319786,275
19,19,64,-0.126,51.373,19.5433442060166,5.216118569058944,15.490054618053064,17.872388276811723,20.52637442027484,23.85656027443731,33.86666117529933,44.101510537764085,54.340268570348805,64.57902660904611,275
20,20,67,-3.5997,57.5045,8.02660467189229,2.142300787122364,6.361886863091454,7.340329972613702,8.430342887174165,9.79807632386311,13.90930323620684,18.11283610360537,22.31797429246348,26.523112483832072,275
21,21,70,-2.0787,55.7774,49.631868917154975,13.246745815190172,39.33821930466223,45.388344125778296,52.128351925454425,60.585622392638406,86.00706564829821,111.99927540471714,138.00141153816702,164.00354768714027,275
22,22,73,-1.615,52.3859,24.66313168359136,6.58258984694759,19.54799817287426,22.55443392516113,25.90368720815384,30.106284848876804,42.73874089537022,55.65482296030559,68.57583765319141,81.49685235379116,275
23,23,76,-0.2212,52.931,17.941290269184808,4.788530373279756,14.220266667690325,16.40730995154548,18.84373717036339,21.900933033570265,31.0904619081067,40.48631562370724,49.88575759853554,59.28519957897536,400
24,24,79,-3.06273,53.366,19.796474476366583,5.283679038221483,15.690685670337182,18.10387590905209,20.79223714323244,24.16555639548142,34.3053106207978,44.67272430586782,55.04409728712843,65.4154702745808,275
25,25,82,-2.2417,52.3121,28.43685342479381,7.58979617976588,22.539050025021663,26.00550245756985,29.86722715307309,34.71286697877834,49.278223300833794,64.17060344197941,79.06867095567065,93.9667384782561,275
26,26,85,-3.718533333333333,55.78187777777778,11.520305507850324,3.07476954032414,9.130994145736915,10.535319387170537,12.099776875305238,14.06283693470194,19.96353741496243,25.99672141046929,32.03220946783152,38.06769752879696,275
27,27,88,-3.730888888888889,55.79862222222222,28.42944188522468,7.587818039854699,22.533175638759037,25.998724604633725,29.85944281306337,34.70381971242548,49.26537984391418,64.15387856178677,79.04806316989658,93.94224778689828,275
28,28,93,-1.531,55.1411,91.443226468163,24.4061971465664,72.47790130037059,83.62483060705132,96.04282076276635,111.62474655975974,158.461967149923,206.35078485959983,254.2578912205537,302.16499761010823,275
29,29,96,-3.73210833333333,57.2535416666666,15.936119011798976,4.253350164634935,12.630967929048934,14.573580836624116,16.73770579865968,19.45322047945849,27.61570063611167,35.96144616403725,44.31037891680791,52.65931167456293,275
30,30,99,-3.47587,53.24996,17.307859350564758,4.61946766108473,13.718209321580265,15.82803737645417,18.178444676514207,21.12770391114099,29.992789469207548,39.05691541266927,48.12450292913359,57.1920904510113,275
