id,long,lat,voltage
42,321083.4394634403,838260.5377231519,132.0
43,284101.0300082731,680911.0245002556,275.0
43,282660.9636758025,692459.0709695615,275.0
44,284101.0300082731,680911.0245002556,400.0
44,276935.96613433235,759132.8397738017,400.0
45,282660.9636758025,692459.0709695615,275.0
45,276935.96613433235,759132.8397738017,275.0
46,361688.85854840203,761115.7191856627,132.0
46,366035.5900072969,758882.9108661617,132.0
47,361688.85854840203,761115.7191856627,132.0
47,382322.4187455957,781114.5972771302,132.0
48,361688.85854840203,761115.7191856627,132.0
48,380819.4509932898,798264.6215028057,132.0
49,162669.95514321755,824330.6928432958,132.0
49,135526.55234669993,851046.7856815611,132.0
50,162669.95514321755,824330.6928432958,132.0
50,210935.6493888442,801052.307998336,132.0
51,289354.1649399604,904951.2828789741,132.0
51,316183.1749040606,930246.5654198765,132.0
52,289354.1649399604,904951.2828789741,132.0
52,265442.12005160365,897842.7517644082,132.0
53,308280.24075811007,723705.2275155848,132.0
53,335735.6999285819,731786.777728324,132.0
54,179404.5434874949,638524.5823366109,132.0
54,182752.9927467075,650247.4807593331,132.0
55,349132.3030226833,840507.1605229736,275.0
55,377099.6844863732,814294.4622846113,275.0
56,239647.87680072692,923216.3076498543,132.0
56,258176.60816737244,909457.8705483282,132.0
57,335735.6999285819,731786.777728324,132.0
57,339084.797851185,729889.1669623607,132.0
58,335735.6999285819,731786.777728324,132.0
58,337460.163199833,732569.4717830811,132.0
59,219190.60614972742,713241.9692705936,132.0
59,211700.21204710417,711853.4721611091,132.0
60,219190.60614972742,713241.9692705936,132.0
60,232549.34575461916,709274.8767971073,132.0
61,394131.5838020865,805482.0761662617,132.0
61,394550.46434835374,801941.482214065,132.0
62,394131.5838020865,805482.0761662617,132.0
62,394224.52647684014,806995.9139857744,132.0
63,291264.90879529057,759775.0537042157,132.0
63,321811.32936774305,739180.4150665868,132.0
64,291264.90879529057,759775.0537042157,132.0
64,277205.9440119453,758943.9249577828,132.0
65,251940.30362953254,823829.6948555929,132.0
65,251940.30362953254,823829.6948555929,132.0
66,289735.82530521054,958740.3027057706,132.0
66,284267.81079296884,964923.5830619836,132.0
67,289735.82530521054,958740.3027057706,275.0
67,298125.1387309589,966650.7927083124,275.0
68,289735.82530521054,958740.3027057706,275.0
68,265442.12005160365,897842.7517644082,275.0
69,234771.56060392727,863871.1125579868,132.0
69,239285.18239464,857126.2104549757,132.0
70,234771.56060392727,863871.1125579868,132.0
70,233063.96535341052,863300.952233377,132.0
71,390836.96586078574,804475.1406101846,132.0
71,387142.1508842669,803806.0321774735,132.0
72,390836.96586078574,804475.1406101846,132.0
72,394550.46434835374,801941.482214065,132.0
73,390836.96586078574,804475.1406101846,132.0
73,391248.0813571155,807045.765421861,132.0
74,390836.96586078574,804475.1406101846,132.0
74,377099.6844863732,814294.4622846113,132.0
75,252997.36546539422,927385.0283649664,132.0
75,258176.60816737244,909457.8705483282,132.0
76,182752.9927467075,650247.4807593331,132.0
76,191345.04428739453,686518.9632154851,132.0
77,182752.9927467075,650247.4807593331,275.0
77,218872.4645430622,651326.0368966147,275.0
78,237820.61792297856,840465.1786785182,132.0
78,229549.87902558382,838517.6182008655,132.0
79,315141.96933615435,852711.0112299522,275.0
79,265211.8076214694,839255.8983322732,275.0
80,380819.4509932898,798264.6215028057,132.0
