node_number,longitude,latitude,Mar-89,11years,22years,33years,55years,110years,1000years,10000years,100000years,1000000years
220,-2.946181,53.267805,0,0,0,0,0,0,0,0,0,0
223,-3.145346,51.495462,8.569566972,2.287217425,6.792238782,7.836868996,9.00061619,10.4608704,14.85020261,19.33808483,23.82768097,28.3172771
226,-2.402251,53.434876,12.2035672,3.257132084,9.672547359,11.1601622,12.81740663,14.89689448,21.14756159,27.53856973,33.93201859,40.32546744
230,-2.402251,53.434876,0,0,0,0,0,0,0,0,0,0
233,-4.7277,58.1686,20.17055148,5.38352019,15.9871791,18.44596933,21.18513022,24.62219219,34.95354866,45.51686647,56.08421839,66.65157031
236,-4.19661,55.85696,7.197712238,1.921069396,5.70490672,6.582307841,7.559757163,8.786247329,12.47291554,16.24235744,20.01323888,23.78412032
239,-4.9367,57.15399,6.795132174,1.813620777,5.385821761,6.214148373,7.136927322,8.294817845,11.77528454,15.33389526,18.89386501,22.45383476
242,-2.08199,53.04094,10.48142466,2.797492242,8.307577187,9.585262854,11.00864032,12.79467509,18.1632608,23.65238289,29.14360127,34.63481965
245,-3.229666667,55.01642778,6.934855988,1.850913063,5.496566856,6.341925801,7.283679245,8.465378705,12.01741194,15.64919602,19.28236708,22.91553813
248,-3.0448,56.4738,6.773148283,1.807753277,5.368397329,6.194044105,7.113837642,8.267982109,11.73718866,15.28428642,18.8327388,22.38119119
251,-4.23901,55.85503,13.28439152,3.545604098,10.52920872,12.14857605,13.95259642,16.21625673,23.02052207,29.97755791,36.93725063,43.89694335
254,-2.48809,50.62369,29.2757672,7.813702265,23.20397308,26.7726891,30.74833829,35.73692902,50.73197698,66.06369626,81.40127069,96.73884512
257,-0.32297,51.34417,19.75762529,5.273310191,15.65989381,18.06834833,20.75143385,24.1181332,34.23798887,44.58505724,54.93607713,65.28709702
260,-1.38885,53.22458,13.66444251,3.647039706,10.83043713,12.49613268,14.35176397,16.68018497,23.67911243,30.83518097,37.9939824,45.15278383
263,-3.300438889,51.63585833,19.9187862,5.316324037,15.78762994,18.21572998,20.92070115,24.31486232,34.51726461,44.94873294,55.38418503,65.81963712
266,-0.0958,51.53069,10.76622686,2.873505949,8.53331141,9.845714464,11.30776807,13.14233313,18.65679453,24.29506753,29.93549379,35.57592004
269,-4.922,56.2771,7.658162008,2.04396344,6.069859208,7.003389157,8.043367557,9.348318364,13.27082894,17.28140839,21.29351946,25.30563054
272,-2.0986,57.1402,7.163280208,1.911879488,5.677615893,6.55081975,7.523593203,8.74421615,12.41324827,16.16465812,19.91750062,23.67034312
275,-3.77815,56.71695,14.96604206,3.994436625,11.86208493,13.68644546,15.71883397,18.26904754,25.93465428,33.77237051,41.61307994,49.45378937
278,-4.1479,55.82231,9.79445458,2.614139927,7.7630847,8.957028713,10.28711565,11.95609071,16.97281034,22.1021662,27.23348096,32.36479571
281,-4.26,55.835,62.44325676,16.66610523,49.4925253,57.1043583,65.58415257,76.22448352,108.2079196,140.9094532,173.6234754,206.3374976
284,-4.25,55.8677,53.83192506,14.3677408,42.6671838,49.22929547,56.53967089,65.71263092,93.28534294,121.4771221,149.6796676,177.8822132
287,-3.8697,55.6162,9.612117729,2.565474222,7.618564512,8.790281663,10.09560725,11.73351211,16.65683881,21.69070487,26.72649334,31.76228182
290,-4.01344,55.85142,9.31096991,2.485097869,7.37987475,8.514881982,9.779311696,11.36590097,16.13497976,21.0111347,25.88915183,30.76716897
293,-2.967,55.9666,74.45066675,19.87088295,59.00959846,68.08513474,78.19553528,90.8819289,129.0155604,168.0053746,207.0100789,246.0147832
296,-2.967,55.9666,0,0,0,0,0,0,0,0,0,0
299,-4.457705556,57.28102778,6.517707012,1.739576001,5.165934577,5.960443062,6.845547674,7.956164949,11.29453448,14.70785764,18.12248435,21.53711105
302,-3.893836111,58.50283611,23.28026767,6.213503441,18.45194015,21.28980478,24.45126513,28.41822274,40.34237584,52.53425202,64.73078425,76.92731649
305,-3.077744444,53.23051944,18.26528835,4.875005461,14.47706755,16.7036062,19.18403236,22.29643749,31.65191819,41.2174497,50.78663426,60.35581883
308,-4.7692,57.6344,26.7605301,7.142385484,21.21039616,24.47250478,28.10658477,32.66657909,46.37332261,60.38781223,74.40765395,88.42749567
311,-3.273,56.5381,7.392800907,1.973138562,5.859533999,6.76071643,7.764658793,9.024392068,12.81098469,16.68259453,20.55568292,24.42877132
314,-1.46313,52.45479,32.78972523,8.751577664,25.98913622,29.98620372,34.43904841,40.02641759,56.82131485,73.99329396,91.17183101,108.3503681
317,-1.19059,51.711176,18.53373096,4.946652793,14.68983516,16.94909696,19.46597763,22.62412538,32.11710238,41.82321729,51.53303894,61.24286059
320,-4.4311,55.4469,4.798669767,1.280764961,3.803425657,4.388383502,5.040042856,5.857736185,8.31561484,10.8286782,13.34270129,15.85672438
323,-4.4311,55.4469,0,0,0,0,0,0,0,0,0,0
326,-2.153,57.1311,4.703779942,1.255438866,3.728215982,4.301606757,4.940380073,5.741904175,8.151180261,10.61454982,13.07886013,15.54317044
